Time	TX	txGrid	RX	rxGrid	MHz	Watts	SNR	drift	k	az	mode	k/W	spotQ	version
2026-06-06 21:36	KD3CCO	FN10cs	K5MO	FM05	14.097096	10	5	0	598	191	WSPR2	60	69	WD_3.2.3
2026-06-06 21:36	KD3CCO	FN10cs	DG5DH	JO41ds	14.09713	10	-14	0	6335	47	WSPR2	634	380	v1.2.113
2026-06-06 21:36	KD3CCO	FN10cs	G4ZFQ	IO90ir	14.097096	10	-4	0	5768	51	WSPR2	577	511	WD_3.3.2-2
2026-06-06 21:36	KD3CCO	FN10cs	AF7KR	DM45dg	14.097099	10	-1	0	3014	269	WSPR2	301	292	WD_3.3.2-1
2026-06-06 21:36	KD3CCO	FN10cs	KB7GF	DN06ta	14.097101	10	-11	0	3294	294	WSPR2	329	226	WD_3.2.3
2026-06-06 21:36	KD3CCO	FN10cs	WA2N	EM85ll	14.097096	10	-5	0	746	220	WSPR2	75	64	WD_3.3.2-2
2026-06-06 21:36	KD3CCO	FN10cs	KF6ZEO	CM87sr	14.097096	10	-25	0	3819	280	WSPR2	382	109	WD_3.3.2-2
2026-06-06 21:36	KD3CCO	FN10cs	DK4RW/1	JO40oe	14.097096	10	5	0	6471	49	WSPR2	647	739	
2026-06-06 21:36	KD3CCO	FN10cs	HB9VQQ/KE	JN47kh	14.097096	10	1	0	6599	52	WSPR2	660	679	WD_3.3.2-2
2026-06-06 21:36	KD3CCO	FN10cs	KP4MD	CM98iq	14.097096	10	-11	0	3689	281	WSPR2	369	253	WD_3.3.2-2
2026-06-06 21:36	KD3CCO	FN10cs	KB9AMG	EN52tx	14.097104	10	3	0	909	289	WSPR2	91	99	1.6.1-deve
2026-06-06 21:36	KD3CCO	FN10cs	K6VZK	DM13nh	14.097096	10	-4	0	3536	269	WSPR2	354	314	WD_3.3.2-2
2026-06-06 21:36	KD3CCO	FN10cs	W1CK-1	DM13ie	14.097096	10	-7	0	3577	269	WSPR2	358	286	WD_3.3.2-2
2026-06-06 21:36	KD3CCO	FN10cs	EA8BFK	IL38bo	14.097096	10	4	0	5868	82	WSPR2	587	654	WD_3.3.2-2
2026-06-06 21:36	KD3CCO	FN10cs	N5TNL	EM25ui	14.097096	10	-24	0	1562	253	WSPR2	156	49	WD_3.3.2-2
2026-06-06 21:36	KD3CCO	FN10cs	PA1JMS	JO21cx	14.097096	10	-19	0	6071	48	WSPR2	607	277	
2026-06-06 21:36	KD3CCO	FN10cs	OE3GBB/P	JN87aq	14.097096	10	4	0	7042	49	WSPR2	704	784	WD_3.3.2-2
2026-06-06 21:36	KD3CCO	FN10cs	DD5XX	JN48ps	14.097111	10	0	0	6549	50	WSPR2	655	655	
2026-06-06 21:36	KD3CCO	FN10cs	DH2WS	JO30rr	14.097096	10	-22	0	6333	49	WSPR2	633	235	1.4A Kiwi
2026-06-06 21:36	KD3CCO	FN10cs	HB9VQQ/RE	JN47kh	14.097102	10	2	0	6599	52	WSPR2	660	698	WD_3.3.2-2
2026-06-06 21:36	KD3CCO	FN10cs	K9TRV-5	EN82bi	14.097099	10	3	0	536	291	WSPR2	54	59	WD_3.3.2-2
2026-06-06 21:36	KD3CCO	FN10cs	VK5ARG	PF95ht	14.097096	10	-14	0	16744	271	WSPR2	1674	1004	WD_3.3.2-2
2026-06-06 21:36	KD3CCO	FN10cs	WA7LNW	DM37gd	14.097111	10	-6	0	3089	274	WSPR2	309	256	RP122-16
2026-06-06 21:36	KD3CCO	FN10cs	KQ9RSS	EM59nu	14.097093	10	12	0	945	267	WSPR2	95	128	2.7.0
2026-06-06 21:36	KD3CCO	FN10cs	EB5TC	IM99tk	14.097092	10	-18	0	6356	64	WSPR2	636	309	
2026-06-06 21:36	KD3CCO	FN10cs	W7WKR-2	CN98pi	14.097099	10	-14	0	3455	299	WSPR2	346	208	WD_3.3.2-2
2026-06-06 21:36	KD3CCO	FN10cs	W1CK	DM13ie	14.097096	10	-10	0	3577	269	WSPR2	358	256	WD_3.3.2-2
2026-06-06 21:36	KD3CCO	FN10cs	EA1FAQ	IN71pn	14.097153	10	-1	0	5923	63	WSPR2	592	575	v1.2.113
2026-06-06 21:36	KD3CCO	FN10cs	VK7JJ	QE38lr	14.097096	10	-19	0	16303	254	WSPR2	1630	745	WD_3.3.2-2
2026-06-06 21:36	KD3CCO	FN10cs	DC1RDB	JN58ss	14.097096	10	-13	0	6694	49	WSPR2	669	421	RP122-16
2026-06-06 21:36	KD3CCO	FN10cs	K6PZB	CM88nk	14.097096	10	-22	0	3828	281	WSPR2	383	142	WD_3.1.7
2026-06-06 21:36	KD3CCO	FN10cs	N6GN5	DN70ll	14.097096	10	-7	0	2291	278	WSPR2	229	183	WD_3.3.2-2
2026-06-06 21:36	KD3CCO	FN10cs	PD0OHW	JO33lc	14.097096	10	-2	0	6191	46	WSPR2	619	584	WD_3.3.2-2
2026-06-06 21:36	KD3CCO	FN10cs	G4HZX	IO91xk	14.097096	10	3	0	5821	50	WSPR2	582	632	WD_3.3.2-2
2026-06-06 21:36	KD3CCO	FN10cs	PA2JH	JO22xk	14.097088	10	-16	0	6160	47	WSPR2	616	334	
2026-06-06 21:36	KD3CCO	FN10cs	K9TRV-2	EN82bi	14.097099	10	5	0	536	291	WSPR2	54	62	WD_3.3.2-2
2026-06-06 21:36	KD3CCO	FN10cs	HB9GZW	JN47bj	14.0971	10	-15	0	6545	52	WSPR2	655	374	WD_3.1.7
2026-06-06 21:36	KD3CCO	FN10cs	K9TRV	EN82bi	14.097097	10	4	0	536	291	WSPR2	54	60	WD_3.3.2-2
2026-06-06 21:36	KD3CCO	FN10cs	DK8JP/1	JO31gk	14.097103	10	-28	0	6242	48	WSPR2	624	125	
2026-06-06 21:36	KD3CCO	FN10cs	WA3TTS	EN90xn	14.097091	10	-18	0	191	264	WSPR2	19	9	2.6.1
2026-06-06 21:36	KD3CCO	FN10cs	PI4RSZ	JO21hp	14.097165	10	-10	0	6111	49	WSPR2	611	436	WD_3.3.2-1
2026-06-06 21:36	KD3CCO	FN10cs	V51RS	JG87ql	14.097097	10	-16	0	12037	104	WSPR2	1204	654	1.4A Kiwi
2026-06-06 21:36	KD3CCO	FN10cs	KJ6MKI	CM88oi	14.097096	10	-19	0	3825	281	WSPR2	383	175	WD_3.3.2-2
2026-06-06 21:36	KD3CCO	FN10cs	W1EUJ	DM13nh	14.097096	10	-6	0	3536	269	WSPR2	354	293	WD_3.3.2-2
2026-06-06 21:36	KD3CCO	FN10cs	N3FKZ	EM13qc	14.097104	10	-18	0	1873	249	WSPR2	187	91	2.7.0
2026-06-06 21:36	KD3CCO	FN10cs	HB9VQQ/RL	JN47kh	14.097097	10	5	0	6599	52	WSPR2	660	754	WD_3.3.2-2
2026-06-06 21:36	KD3CCO	FN10cs	G4HZX/L	IO91xk	14.097096	10	-6	0	5821	50	WSPR2	582	482	WD_3.3.2-2
2026-06-06 21:36	KD3CCO	FN10cs	K9TRV-4	EN82bi	14.097096	10	4	0	536	291	WSPR2	54	60	WD_3.3.2-2
2026-06-06 21:36	KD3CCO	FN10cs	KX4AZ/T	EN74gc	14.097096	10	18	0	730	303	WSPR2	73	111	WD_3.3.2-2
2026-06-06 21:36	KD3CCO	FN10cs	DJ6DK	JN48fw	14.097112	10	4	0	6487	50	WSPR2	649	723	2.7.0-rc3
2026-06-06 21:36	KD3CCO	FN10cs	DL0PF	JN68rn	14.097096	10	1	0	6828	49	WSPR2	683	703	v1.2.114
2026-06-06 21:36	KD3CCO	FN10cs	KG0D	CN88ka	14.0971	10	1	0	3636	298	WSPR2	364	374	SparkSDR
2026-06-06 21:36	KD3CCO	FN10cs	KK7IXU	CN88no	14.097096	10	-5	0	3613	299	WSPR2	361	309	WD_3.3.2-2
2026-06-06 21:36	KD3CCO	FN10cs	PA5KT-15	JO11wl	14.097092	10	-11	0	6071	49	WSPR2	607	416	CWSL_DIGI
2026-06-06 21:36	KD3CCO	FN10cs	WA0WRG	EN35lc	14.097147	10	-15	0	1329	296	WSPR2	133	76	2.6.1
2026-06-06 21:36	KD3CCO	FN10cs	DK8FT/A	JN58oe	14.097098	10	-8	0	6704	50	WSPR2	670	517	RP125-14
2026-06-06 21:36	KD3CCO	FN10cs	EA8/DF4UE	IL38bp	14.097097	10	-4	0	5866	82	WSPR2	587	520	UberSDR
2026-06-06 21:36	KD3CCO	FN10cs	PI4THT	JO32kf	14.097102	10	-10	0	6226	47	WSPR2	623	445	0.6
2026-06-06 21:36	KD3CCO	FN10cs	K4FMH	EM52aa	14.0971	10	0	0	1458	232	WSPR2	146	146	v1.2.49
2026-06-06 21:36	KD3CCO	FN10cs	AC0G/ND	EN16ov	14.097096	10	4	0	1664	300	WSPR2	166	185	WD_3.3.2-2
2026-06-06 21:36	KD3CCO	FN10cs	DL2ZZ	JO31lo	14.097095	10	-6	0	6260	48	WSPR2	626	519	
2026-06-06 21:36	KD3CCO	FN10cs	DJ2DS-1	JO33sn	14.097096	10	-17	0	6206	46	WSPR2	621	319	WD_3.3.2-2
2026-06-06 21:36	KD3CCO	FN10cs	AC0G	EM38ww	14.097096	10	2	0	1239	265	WSPR2	124	131	WD_4.0
2026-06-06 21:36	KD3CCO	FN10cs	W7EL	CN85ol	14.097113	10	-4	0	3641	294	WSPR2	364	322	2.6.1
2026-06-06 21:36	KD3CCO	FN10cs	F62000	JO10jg	14.097132	10	-17	0	6054	51	WSPR2	605	311	v1.2.115
2026-06-06 21:36	KD3CCO	FN10cs	KD8UTJ	EL98pj	14.097116	10	-16	0	1401	192	WSPR2	140	76	v1.3.0-dev
2026-06-06 21:36	KD3CCO	FN10cs	N5MN	EM10dr	14.09711	10	-14	0	2108	244	WSPR2	211	127	2.6.1
2026-06-06 21:36	KD3CCO	FN10cs	HA5GB	JN97ba	14.097186	10	-19	0	7214	48	WSPR2	721	330	RP125-14
2026-06-06 21:36	KD3CCO	FN10cs	KM0R	DM43eh	14.097097	10	-21	0	3094	265	WSPR2	309	124	WD_3.3.2-2
2026-06-06 21:36	KD3CCO	FN10cs	W0AY	DN26	14.097201	10	-10	0	3035	295	WSPR2	304	217	
2026-06-06 21:36	KD3CCO	FN10cs	DL6OW-WTM	JO33uo	14.097053	10	-22	1	6214	46	WSPR2	621	231	1.4A Kiwi
2026-06-06 21:36	KD3CCO	FN10cs	DG7SFI-2	JO54ed	14.097092	10	-19	0	6347	44	WSPR2	635	290	
2026-06-06 21:36	KD3CCO	FN10cs	F4VTQ/R	JN28ux	14.097096	10	-15	0	6305	51	WSPR2	631	361	RP122-16
2026-06-06 21:36	KD3CCO	FN10cs	M9PSY	IO86ha	14.097096	10	-15	0	5456	45	WSPR2	546	312	UberSDR
2026-06-06 21:36	KD3CCO	FN10cs	AA0O	EL87pq	14.09713	10	-21	0	1523	199	WSPR2	152	61	CWSL_DIGI
2026-06-06 21:36	KD3CCO	FN10cs	HB9TUP	JN36qx	14.097105	10	-1	0	6516	53	WSPR2	652	633	3.0.1
2026-06-06 21:36	KD3CCO	FN10cs	OZ7IT	JO65df	14.097096	10	3	0	6405	42	WSPR2	641	696	2.5.2
